"","Employment.CLSC_code","Employment.Nom","Employment.Den","Employment.Year"
"1",1111,9640,10260,2011
"2",1121,16800,17880,2011
"3",1131,8355,9415,2011
"4",1141,3545,4010,2011
"5",1151,26745,28710,2011
"6",1161,8015,9040,2011
"7",1171,9115,10150,2011
"8",1181,7255,8675,2011
"9",2111,13825,15645,2011
"10",2121,10700,12280,2011
"11",2131,23760,26065,2011
"12",2141,29740,31955,2011
"13",2151,35445,38120,2011
"14",2161,9405,10270,2011
"15",3111,24335,25860,2011
"16",3121,33900,35065,2011
"17",3122,26380,27525,2011
"18",3123,38590,40950,2011
"19",3124,17940,19050,2011
"20",3125,12845,13825,2011
"21",3126,28020,29800,2011
"22",3131,50335,52255,2011
"23",3132,54950,57380,2011
"24",3133,44610,46410,2011
"25",3134,16705,17695,2011
"26",3141,5930,6515,2011
"27",3142,7000,7875,2011
"28",4111,5885,6635,2011
"29",4121,5155,5745,2011
"30",4122,5780,6195,2011
"31",4131,10095,11265,2011
"32",4141,26350,28735,2011
"33",4151,41130,44560,2011
"34",4152,21920,23750,2011
"35",4161,10865,11720,2011
"36",4162,9425,9945,2011
"37",4171,46925,50680,2011
"38",4181,34500,36540,2011
"39",4182,11540,12390,2011
"40",5111,24645,26225,2011
"41",5121,48430,51455,2011
"42",5131,22645,24025,2011
"43",5141,9305,9760,2011
"44",5151,73880,79020,2011
"45",5161,14705,15440,2011
"46",5171,5965,6605,2011
"47",5181,10440,11065,2011
"48",5191,10530,11230,2011
"49",6111,39935,42845,2011
"50",6112,43590,47190,2011
"51",6113,24450,26580,2011
"52",6121,28920,31240,2011
"53",6122,32895,36530,2011
"54",6211,21750,23945,2011
"55",6212,35470,39195,2011
"56",6221,10355,12445,2011
"57",6222,21430,22910,2011
"58",6223,14665,16845,2011
"59",6224,22580,26195,2011
"60",6225,26785,29935,2011
"61",6311,12760,14365,2011
"62",6312,14115,15505,2011
"63",6313,31980,35010,2011
"64",6314,6410,7070,2011
"65",6321,21500,23500,2011
"66",6322,32705,35075,2011
"67",6323,19980,22215,2011
"68",6324,6955,7815,2011
"69",6411,21260,24385,2011
"70",6412,38585,43270,2011
"71",6421,36965,41060,2011
"72",6422,31180,36290,2011
"73",6431,31205,34460,2011
"74",6432,27200,29620,2011
"75",6511,21165,25025,2011
"76",6512,30410,34370,2011
"77",6521,26925,29395,2011
"78",6522,17530,19545,2011
"79",6523,25600,27705,2011
"80",6524,20950,22670,2011
"81",6531,41160,45255,2011
"82",6532,19420,21230,2011
"83",6533,24870,27770,2011
"84",7111,8545,9525,2011
"85",7121,8205,9755,2011
"86",7131,19070,20190,2011
"87",7141,21240,22455,2011
"88",7142,37330,39945,2011
"89",7143,62295,65895,2011
"90",7151,18440,19780,2011
"91",7152,5780,6320,2011
"92",8111,8915,9790,2011
"93",8121,11890,12975,2011
"94",8131,20485,21790,2011
"95",8141,21135,22840,2011
"96",8151,4620,5330,2011
"97",8152,260,290,2011
"98",9111,2040,2165,2011
"99",9121,2375,2830,2011
"100",9122,2225,2625,2011
"101",9123,15305,16405,2011
"102",9131,3565,3765,2011
"103",9141,12085,13080,2011
"104",9151,405,515,2011
"105",9161,240,325,2011
"106",9171,165,235,2011
"107",10011,635,745,2011
"108",10012,0,0,2011
"109",10013,950,1210,2011
"110",10014,4575,4890,2011
"111",11111,5520,6855,2011
"112",11112,6805,7995,2011
"113",11121,3880,4790,2011
"114",11131,790,980,2011
"115",11132,7440,8320,2011
"116",11133,245,310,2011
"117",11141,5935,7080,2011
"118",11211,5650,6830,2011
"119",12111,16000,16630,2011
"120",12112,51435,53340,2011
"121",12113,28350,29735,2011
"122",12114,18360,19035,2011
"123",12115,15700,16400,2011
"124",12121,19225,20360,2011
"125",12131,9705,10075,2011
"126",12132,26225,27530,2011
"127",12141,7805,8375,2011
"128",12151,10490,11270,2011
"129",12152,8625,9360,2011
"130",13111,71800,76035,2011
"131",13112,29245,31150,2011
"132",13113,42360,46270,2011
"133",13114,51720,55880,2011
"134",14111,20370,22675,2011
"135",14112,23035,25000,2011
"136",14113,29615,31760,2011
"137",14114,19590,21010,2011
"138",14121,81850,86270,2011
"139",14122,62925,66735,2011
"140",15111,13995,16070,2011
"141",15121,21190,23495,2011
"142",15131,19575,20940,2011
"143",15141,14635,15990,2011
"144",15151,56590,59820,2011
"145",15161,67260,72025,2011
"146",15171,81235,85910,2011
"147",16111,60670,64880,2011
"148",16112,42410,45145,2011
"149",16121,35180,37155,2011
"150",16122,55380,58600,2011
"151",16211,29840,32900,2011
"152",16212,32805,35400,2011
"153",16213,62640,65310,2011
"154",16221,58890,61555,2011
"155",16222,43525,46065,2011
"156",16223,7455,7955,2011
"157",16231,22690,24085,2011
"158",16311,75830,80065,2011
"159",16321,25115,27360,2011
"160",16331,9545,10465,2011
"161",16341,32910,35285,2011
"162",16342,54410,56930,2011
"163",16343,13745,14405,2011
"164",17011,2265,2705,2011
"165",17012,2420,2740,2011
"166",18011,5735,6705,2011
