"","Language_FrEn.CLSC_code","Language_FrEn.Nom","Language_FrEn.Den","Language_FrEn.Year"
"1",1111,21530,21575,2006
"2",1121,32450,32450,2006
"3",1131,21210,21215,2006
"4",1141,9090,9125,2006
"5",1151,52145,52170,2006
"6",1161,18815,18815,2006
"7",1171,21860,21880,2006
"8",1181,18810,18810,2006
"9",2111,31400,31415,2006
"10",2121,26265,26275,2006
"11",2131,49865,49890,2006
"12",2141,63910,63950,2006
"13",2151,75015,75050,2006
"14",2161,22580,22595,2006
"15",3111,45395,45430,2006
"16",3121,59965,60005,2006
"17",3122,40195,40325,2006
"18",3123,73575,73925,2006
"19",3124,35445,35505,2006
"20",3125,24955,25085,2006
"21",3126,57060,57370,2006
"22",3131,80950,81010,2006
"23",3132,93070,93230,2006
"24",3133,76150,76265,2006
"25",3134,29400,29405,2006
"26",3141,12910,12910,2006
"27",3142,16165,16165,2006
"28",4111,14785,15240,2006
"29",4121,12415,12425,2006
"30",4122,11580,11625,2006
"31",4131,22820,22840,2006
"32",4141,63395,63410,2006
"33",4151,81710,81820,2006
"34",4152,45510,45530,2006
"35",4161,22215,22280,2006
"36",4162,18480,18505,2006
"37",4171,90620,91055,2006
"38",4181,65025,65075,2006
"39",4182,22685,22725,2006
"40",5111,48600,48625,2006
"41",5121,86355,86470,2006
"42",5131,44740,44745,2006
"43",5141,18120,18125,2006
"44",5151,144020,144595,2006
"45",5161,28750,28760,2006
"46",5171,14125,14140,2006
"47",5181,21460,21465,2006
"48",5191,22095,22125,2006
"49",6111,78320,79020,2006
"50",6112,80320,81590,2006
"51",6113,47805,48690,2006
"52",6121,57725,58365,2006
"53",6122,72115,73900,2006
"54",6211,46760,47600,2006
"55",6212,68355,70130,2006
"56",6221,26290,30245,2006
"57",6222,42305,43175,2006
"58",6223,30730,32320,2006
"59",6224,50595,52370,2006
"60",6225,53315,53980,2006
"61",6311,28225,28695,2006
"62",6312,29235,30030,2006
"63",6313,63880,64855,2006
"64",6314,13645,13765,2006
"65",6321,36710,38120,2006
"66",6322,50270,50460,2006
"67",6323,32810,33595,2006
"68",6324,9585,10105,2006
"69",6411,49345,52010,2006
"70",6412,75945,79610,2006
"71",6421,73820,75860,2006
"72",6422,80385,82695,2006
"73",6431,57215,59070,2006
"74",6432,45285,46035,2006
"75",6511,51085,54435,2006
"76",6512,68060,71485,2006
"77",6521,52925,54365,2006
"78",6522,39895,40505,2006
"79",6523,51685,51990,2006
"80",6524,40295,40695,2006
"81",6531,80385,81565,2006
"82",6532,38960,39700,2006
"83",6533,46275,46685,2006
"84",7111,19630,19625,2006
"85",7121,20385,20390,2006
"86",7131,31010,31015,2006
"87",7141,41080,41240,2006
"88",7142,67715,68290,2006
"89",7143,107625,108145,2006
"90",7151,33630,33665,2006
"91",7152,15280,15295,2006
"92",8111,20440,20455,2006
"93",8121,23890,23925,2006
"94",8131,39440,39440,2006
"95",8141,41175,41275,2006
"96",8151,13035,13075,2006
"97",8152,3515,3510,2006
"98",9111,3310,3370,2006
"99",9121,5555,5555,2006
"100",9122,6450,6465,2006
"101",9123,32560,32690,2006
"102",9131,7425,7440,2006
"103",9141,26525,26685,2006
"104",9151,6140,6290,2006
"105",9161,5280,5460,2006
"106",9171,495,570,2006
"107",10011,1390,1390,2006
"108",10012,1550,1550,2006
"109",10013,2720,2720,2006
"110",10014,9170,9195,2006
"111",11111,14395,14415,2006
"112",11112,17720,17725,2006
"113",11121,11790,11800,2006
"114",11131,2600,2595,2006
"115",11132,15535,15525,2006
"116",11133,810,810,2006
"117",11141,17295,17320,2006
"118",11211,12975,12975,2006
"119",12111,26770,26785,2006
"120",12112,84150,84175,2006
"121",12113,49520,49580,2006
"122",12114,32680,32675,2006
"123",12115,25695,25715,2006
"124",12121,42385,42435,2006
"125",12131,18500,18510,2006
"126",12132,49090,49090,2006
"127",12141,17180,17190,2006
"128",12151,22650,22650,2006
"129",12152,18495,18500,2006
"130",13111,117745,118770,2006
"131",13112,51985,52515,2006
"132",13113,83320,84395,2006
"133",13114,105165,108255,2006
"134",14111,48870,49260,2006
"135",14112,42145,42220,2006
"136",14113,57035,57125,2006
"137",14114,39685,39800,2006
"138",14121,127830,127985,2006
"139",14122,108630,108815,2006
"140",15111,34510,34545,2006
"141",15121,42355,42445,2006
"142",15131,36110,36125,2006
"143",15141,29430,29465,2006
"144",15151,100035,100175,2006
"145",15161,120980,121065,2006
"146",15171,141630,142250,2006
"147",16111,111425,113915,2006
"148",16112,75775,76300,2006
"149",16121,55820,55900,2006
"150",16122,106075,106155,2006
"151",16211,63135,63740,2006
"152",16212,64125,64655,2006
"153",16213,107870,107990,2006
"154",16221,100100,100190,2006
"155",16222,78790,78935,2006
"156",16223,14995,15000,2006
"157",16231,48820,48855,2006
"158",16311,119270,119470,2006
"159",16321,54005,54070,2006
"160",16331,21680,21745,2006
"161",16341,62010,62245,2006
"162",16342,91445,91645,2006
"163",16343,23655,23880,2006
"164",17011,4380,5925,2006
"165",17012,3860,4660,2006
"166",18011,12340,14110,2006
